,fitness,fitness_trace,birth_time,route
278,2065.2991442775224,"[2012.5151684664816, 0, 0.0, 52.78397581104084, 0]",14.198293447494507,"[[0, 0], [-0.22277634887382528, 0.0], [-0.22603315447076724, -0.5699794391212777], [-0.21275017580605415, -1.574243192878656], [-0.37924363877544637, -0.5074381609004858], [-0.23698024793623626, 0.49499609301072056], [1.2691525738191953, 0.19994871149369103], [3.3073500786572585, -0.34646657798441427], [5.384719252367437, -0.9664055611639604], [6.683967307524791, -2.178177236995155], [5.896372518075802, -0.5626444632579469], [6.448864478089898, -2.2755207602115943]]"
279,2011.0263514979106,"[1953.560451076995, 0, 0.0, 57.46590042091573, 0]",14.20160460472107,"[[0, 0], [-0.27157515028702517, 0.0], [0.7028679540992471, -0.37232134763101643], [1.9847768292680328, -1.1090326561484216], [2.183531855146086, -2.4138244219911895], [3.4549689159895607, -1.5054300529919002], [5.52358169077034, -1.8704658313538203], [4.7973754852059605, 0.3193881302608753], [6.8918224400131995, -0.8993690764475804], [7.658056693593945, -3.709087930199182], [6.308812600075191, -0.586202319286115], [2.632426825002926, -0.5936037766151475]]"
280,1771.5706198836683,"[1738.4275143546126, 0, 0.0, 33.14310552905571, 0]",14.225463628768921,"[[0, 0], [0.10796806189737873, 0.0], [0.2268651807470463, 0.09371872892837757], [0.3623168151149245, -0.15771141767740282], [0.3606218438572408, -0.1748996648250951], [-0.16883506077578214, 0.056274170777821805], [-0.2955292535227409, 0.4143494115535769], [-0.8008905503234218, 0.3939819468551251], [-2.022740717128354, 0.28616055506975363], [-1.9534147068212375, -1.0848188368714005], [-1.106594082120226, -1.3785903064495633]]"
281,1942.6520980150303,"[1867.1030885607247, 0, 0.0, 75.54900945430572, 0]",14.239310026168823,"[[0, 0], [0.446970687963564, 0.0], [0.9064139730191096, -0.4971096254644791], [0.5627292241211143, -0.6113249811765721], [0.49349213767261524, -0.6579925093591562], [0.41407377225904585, -1.1354457099779582], [0.49145525498978776, -2.051805969174533], [-0.31529045515604526, -3.638261015781966], [-0.28169895840392006, -1.2385812618700205], [-0.14699296444609228, 1.0616052017239976], [1.4945422158144648, 1.0702124205921282], [0.015877662976070517, 0.6530936080873863], [1.535759578658886, -0.03821245585489322], [0.7920886563746803, -1.4179304461982734], [-0.9743707731508703, -0.7154725387204368]]"
282,2179.9148120026894,"[2144.3967819000068, 0, 0.0, 35.51803010268281, 0]",14.243353366851807,"[[0, 0], [0.31771089217290477, 0.0], [0.1832700231297971, 1.108976197451176], [-1.3281464458091006, 0.9286231021195991], [-2.668828160585777, 0.9464599968449492], [-2.243577642590179, 2.502326332706437], [-2.1840210268295652, 0.497189676763204]]"
283,1954.3890864435464,"[1904.9524759811436, 0, 0.0, 49.4366104624027, 0]",14.26408839225769,"[[0, 0], [-0.27994364982203823, 0.0], [-0.3089884650944157, -0.08754222350264046], [-0.12562473145575487, -0.15322818016516865], [-0.03824518196592752, -0.24560204709423872], [0.08620682199108069, -0.2663478938086213], [0.10224050836554155, -0.30754859570114296], [0.35578977770165654, -0.21658595062384167], [0.5508839347840075, -0.2535548409711697], [0.5497840456127309, -0.26167153205955984], [0.8564870704262351, -0.19289133934719463], [0.9726619874463145, -0.5250315540449316]]"
284,1549.9537135741443,"[1510.3579497845935, 0, 0.0, 39.59576378955069, 0]",14.277123928070068,"[[0, 0], [0.3591848446697272, 0.0], [0.903557819087327, 0.014858734650618655], [0.7787151877595229, -0.09289638555433419], [0.747857249624425, -0.1228055813440858], [0.5524575809519178, -0.5018602725749088], [1.450560224517547, -1.1285195719997234], [2.1324888711432504, -2.015298496812013], [1.271464155146501, -2.1778569882768215], [1.8286815140509254, -2.6729642875098234]]"
285,2016.710108924868,"[1963.395075281911, 0, 0.0, 53.31503364295714, 0]",14.27964973449707,"[[0, 0], [-0.22277634887382528, 0.0], [-0.22265007437404152, 0.02209952863923903], [0.08640118849192172, 0.013027187400199758], [0.29850576403539264, -0.10244337366136334], [0.5363282302242123, -0.06663139466748445], [0.6367009820920192, -0.18930010524263868], [0.7593095329996107, -0.0943209443023515], [0.8429335539431411, -0.08361207474260773], [0.7421566767063834, 0.4703585153637141], [0.6096890241406723, -0.23104372010250296], [-0.06448872764046015, -0.18323644243995965]]"
286,1948.7293362126684,"[1505.472793434363, 400, 0.0, 43.25654277830536, 0]",14.28306531906128,"[[0, 0], [-0.22277634887382528, 0.0], [-0.2281790543709661, -0.9455372626137857], [-0.45138250333135826, -2.3082414981084294], [-1.5176161695268253, -2.9052365473517727], [-0.30159982840924326, -3.7214976246587654], [0.06592435470536501, -5.689871965331937], [2.0497442783010404, -4.08738633772624], [5.024486864100793, -3.6446770212931083], [7.851825007958373, -5.705349493096854], [4.282897415226878, -3.809846688092489]]"
287,1829.1188679261186,"[1777.3775422445315, 0, 0.0, 51.74132568158717, 0]",14.29072380065918,"[[0, 0], [-0.27994364982203823, 0.0], [-0.3089884650944157, -0.08754222350264046], [-0.15669431867501946, -0.14209819541240967], [-0.10528010697333168, -0.3199111542895373], [-0.3881239080835301, -0.23602410236251134], [-0.3152909376446308, -0.28208469780889533], [-0.31458027018507073, -0.3805040907259851], [-0.3992642403350016, -0.5268740487049068], [-0.5544259474405265, -0.44768137303541583], [-0.907697384069047, -0.8074909360214937], [-0.06714238068712576, -1.113365930083768]]"
288,1332.7304878748578,"[1282.5358434599407, 0, 0.0, 50.1946444149172, 0]",14.301097869873047,"[[0, 0], [0.24016827536894436, 0.0], [0.43788653909371217, 0.046598102065237276], [0.26700089122049286, 0.15674920450543145], [0.20752216193176215, 0.380458414432993], [0.005484598992414866, 0.5142272993604582], [-0.04761759850131206, 0.41816500326970496], [-0.09321507768830345, 0.3577560822413887], [-0.2758873360865909, 0.6808228731972612], [-1.3096010808498735, 0.8816496594957782], [0.4083893899643413, 0.2865085047514099], [1.5464250474478105, -1.7077295403941433], [2.0071351226209537, -3.9095268374674785]]"
289,1804.9756231406193,"[1745.500379702446, 0, 0.0, 59.47524343817329, 0]",14.308072805404663,"[[0, 0], [0.3351525198510557, 0.0], [0.8057064690922799, -0.426607884087383], [0.5044203929129187, -0.26275893847161774], [0.37261275953481776, -0.5146813453107739], [-0.1005156728740314, -0.31333492540217855], [-0.006834812810281032, -0.37754956936679407], [0.7682032384536734, -0.6410670837469252], [1.9517351246869479, -0.500576464590244], [1.8905291198725371, -1.344776758394151], [1.6364360648176262, -1.4199550845031332], [1.5335528549275834, -1.4082885855216234]]"
290,1779.2469890060413,"[1733.0164856526285, 0, 0.0, 46.2305033534128, 0]",14.321049690246582,"[[0, 0], [0.10796806189737873, 0.0], [0.3418188741534547, 0.18432911659717122], [0.4998452592942888, 0.06832130310251316], [0.43506671427274424, 0.16374195603191882], [0.42751065808694416, 0.1303663163610444], [0.6877974213634473, 0.46818691449845007], [0.9511853594833619, 0.6708732045448029], [0.9092627566787247, 0.9143105163422429], [0.2900862414482745, 1.0488136536077688], [-0.636064391462262, 0.41546095457915966], [0.4282001950740915, -0.6802816114838619], [-1.2047174865473305, -1.4190729366692703]]"
291,1664.855612515931,"[1631.9320094734742, 0, 0.0, 32.92360304245685, 0]",14.32460641860962,"[[0, 0], [0.15196190352286865, 0.0], [0.23362899378373853, 0.42448294134644643], [-0.7508503361129943, 0.3857287459374088], [-0.7183467216975604, -1.2149578026757912], [0.16744106677766027, -3.2153105603005274], [-2.0526393385584942, -2.102739472804165]]"
292,1311.072730465506,"[1264.5666943975853, 0, 0.0, 46.50603606792083, 0]",14.328918933868408,"[[0, 0], [0.11046161249107947, 0.0], [-0.12145345895369498, -0.033058691721276755], [-0.15098120225262288, -0.016110145376448226], [-0.1694804206857779, -0.012598035134218234], [-0.14269306129557338, 0.2346373500464961], [-0.09689180317360127, 0.37937147932312], [-0.1330013870397053, -0.7038789218707884], [0.7026468873637712, -2.6130851558188457], [2.5636428068061825, -4.22021119126297]]"
293,1868.762992365363,"[1838.008946175601, 0, 0.0, 30.754046189761972, 0]",14.331499099731445,"[[0, 0], [-0.26013169253719304, 0.0], [-0.5691138919142165, -0.40187706207038904], [-1.253942106706233, -0.5786958757353302], [-1.7442480130754832, -0.9042418604953526], [-1.6294365237312038, -0.7105727658668946], [-1.6202018963802323, -0.700329884053208], [-1.898652624360011, -0.7140534865422695], [-3.0238892922750944, -1.3216928088709248]]"
294,1827.6968221872849,"[1789.703700285061, 0, 0.0, 37.99312190222386, 0]",14.351391553878784,"[[0, 0], [0.18510950594316966, 0.0], [0.1393568637190169, -0.12170931129478471], [0.35724644726760507, -0.027110863242887195], [0.4269355310813718, 0.2286915602872081], [0.5552714268719989, -0.038316593971696594], [0.5816170612021198, -0.049953538202073405], [0.17978299263519495, -0.26365406657466], [0.030945577065095924, -1.0515350064041105]]"
